Course-Sec,Activity,CRN,Course Name,Instructor,Day,Time,Location,Status,Waitlist
EE  207-04,LEC,21049,Signals and Systems,MOHAMMAD ALHASSOUN,UTR,1300-1350,59-1015,Open,Closed
EE  212-51,LAB,24441,Electrical Circuits Lab,ABDULLAH SHAH,R,1400-1640,59-0070,Open,Closed
EE  213-02,LEC,23050,Electrical Circuits II,ABDULLAH AL-GARNI,UT,0900-0950,59-2003,Closed,Closed
EE  213-03,LEC,21050,Electrical Circuits II,HUSAIN AL-DAWISH,UT,1000-1050,59-2013,Closed,Open
EE  213-10,LEC,23119,Electrical Circuits II,A ZIDOURI,UT,0800-0850,59-2004,Open,Closed
EE  234-01,LEC,23121,Electronics and Microcontrollers  (Non-EE students),HUSSEIN ATTIA,MW,0800-0915,59-2017,Open,Closed
EE  234-02,LEC,23122,Electronics and Microcontrollers  (Non-EE students),NAVEED IQBAL,MW,0930-1045,59-2002,Open,Closed
EE  234-03,LEC,24043,Electronics and Microcontrollers  (Non-EE students),HUSSEIN ATTIA,MW,1100-1215,59-2021,Open,Closed
EE  234-04,LEC,24044,Electronics and Microcontrollers  (Non-EE students),ANAS SALHAB,MW,1230-1345,59-2003,Closed,Closed
EE  234-05,LEC,24419,Electronics and Microcontrollers  (Non-EE students),ANAS SALHAB,MW,0930-1045,59-1016,Open,Closed
EE  235-51,LAB,24045,Electronics and Microcontrollers Lab (Non-EE students),AMAN JACKNOON,U,1400-1640,59-0053,Open,Closed
EE  235-52,LAB,23123,Electronics and Microcontrollers Lab (Non-EE students),K AL-QAHTANI,M,0800-1040,59-0053,Closed,Closed
EE  235-53,LAB,24046,Electronics and Microcontrollers Lab (Non-EE students),None,M,1100-1340,59-0053,Open,Closed
EE  235-54,LAB,24047,Electronics and Microcontrollers Lab (Non-EE students),K AL-QAHTANI,M,1400-1640,59-0053,Closed,Closed
EE  235-55,LAB,24048,Electronics and Microcontrollers Lab (Non-EE students),K AL-QAHTANI,T,1400-1640,59-0053,Closed,Closed
EE  235-56,LAB,24049,Electronics and Microcontrollers Lab (Non-EE students),K AL-QAHTANI,W,0800-1040,59-0053,Open,Closed
EE  235-57,LAB,24050,Electronics and Microcontrollers Lab (Non-EE students),None,W,1100-1340,59-0053,Closed,Closed
EE  235-58,LAB,23124,Electronics and Microcontrollers Lab (Non-EE students),K AL-QAHTANI,W,1400-1640,59-0053,Closed,Closed
EE  235-59,LAB,23125,Electronics and Microcontrollers Lab (Non-EE students),AMAN JACKNOON,R,1400-1640,59-0053,Open,Closed
EE  236-02,LEC,24065,Electronic Circuits,MA AL-ABSI,MW,0800-0915,59-1011,Closed,Closed
EE  237-51,LAB,23126,Electronic Circuits Lab (Non-EE students),I AL-SAIHATI,U,1400-1640,59-0052,Closed,Closed
EE  237-54,LAB,24051,Electronic Circuits Lab (Non-EE students),I AL-SAIHATI,M,1400-1640,59-0052,Closed,Closed
EE  237-58,LAB,24053,Electronic Circuits Lab (Non-EE students),I AL-SAIHATI,W,1400-1640,59-0052,Open,Closed
EE  271-51,LAB,23127,Electrical Circuits II Lab,UMAR JOHAR,U,1400-1640,59-0060,Closed,Closed
EE  271-54,LAB,23128,Electrical Circuits II Lab,AMMAR MUQBEL,M,1100-1340,59-0060,Closed,Closed
EE  271-59,LAB,23130,Electrical Circuits II Lab,MOHAMED ABDULGALIL,T,1400-1640,59-0060,Closed,Closed
EE  271-62,LAB,23131,Electrical Circuits II Lab,AMMAR MUQBEL,W,1100-1340,59-0060,Closed,Closed
EE  271-63,LAB,23132,Electrical Circuits II Lab,UMAR JOHAR,W,1400-1640,59-0060,Open,Closed
EE  271-64,LAB,23133,Electrical Circuits II Lab,AMMAR MUQBEL,R,1400-1640,59-0060,Open,Closed
EE  272-51,LAB,23134,Analog and Digital Electronics Lab,ABDULAZIZ AL-KHULAIFI,U,1400-1640,59-0041,Closed,Closed
EE  272-53,LAB,23136,Analog and Digital Electronics Lab,I AL-SAIHATI,M,0800-1040,59-0040,Closed,Closed
EE  272-54,LAB,23137,Analog and Digital Electronics Lab,ABDULRAHMAN ALMUJAYSHI,M,1100-1340,59-0041,Closed,Closed
EE  272-56,LAB,23138,Analog and Digital Electronics Lab,ABDULAZIZ AL-KHULAIFI,T,1400-1640,59-0040,Open,Closed
EE  272-57,LAB,23139,Analog and Digital Electronics Lab,None,T,1400-1640,59-0041,Open,Closed
EE  272-59,LAB,23140,Analog and Digital Electronics Lab,I AL-SAIHATI,W,0800-1040,59-0040,Open,Closed
EE  272-60,LAB,23141,Analog and Digital Electronics Lab,ABDULAZIZ AL-KHULAIFI,W,1100-1340,59-0041,Closed,Closed
EE  303-02,LEC,23007,Electronics II,M.A. AL-GAHTANI,UTR,1200-1250,59-1011,Closed,Open
EE  303-03,LEC,22726,Electronics II,M.A. AL-GAHTANI,UTR,1300-1350,59-1016,Open,Closed
EE  304-55,LAB,23146,Electronics II Lab,ABDULAZIZ AL-KHULAIFI,M,1400-1640,59-0036,Closed,Closed
EE  304-56,LAB,23147,Electronics II Lab,None,T,1400-1640,59-0036,Open,Closed
EE  306-01,LEC,20434,Electromechanical Devices (Non-EE Students),IBRAHIM HABIBALLAH,MW,0800-0850,59-1007,Open,Closed
EE  306-07,LEC,22728,Electromechanical Devices (Non-EE Students),IBRAHIM HABIBALLAH,MW,1200-1250,59-1016,Closed,Open
EE  306-08,LEC,22729,Electromechanical Devices (Non-EE Students),MOHAMED HASSAN,UT,1000-1050,59-2021,Closed,Open
EE  306-51,LAB,20435,Electromechanical Devices (Non-EE Students),FIROZ AHMAD,U,1400-1640,59-0026,Closed,Closed
EE  306-53,LAB,24350,Electromechanical Devices (Non-EE Students),FIROZ AHMAD,M,0800-1040,59-0026,Open,Closed
EE  306-54,LAB,20436,Electromechanical Devices (Non-EE Students),None,M,1100-1340,59-0026,Closed,Closed
EE  306-55,LAB,22149,Electromechanical Devices (Non-EE Students),MOHAMED ABDULGALIL,M,1400-1640,59-0026,Closed,Closed
EE  306-56,LAB,20437,Electromechanical Devices (Non-EE Students),FIROZ AHMAD,T,1400-1640,59-0026,Closed,Closed
EE  306-58,LAB,20438,Electromechanical Devices (Non-EE Students),FIROZ AHMAD,W,1100-1340,59-0026,Open,Closed
EE  306-59,LAB,20439,Electromechanical Devices (Non-EE Students),MOHAMED ABDULGALIL,W,1400-1640,59-0026,Closed,Closed
EE  306-60,LAB,22489,Electromechanical Devices (Non-EE Students),MOHAMED ABDULGALIL,R,1400-1640,59-0026,Open,Closed
EE  311-03,LEC,23184,Fundamentals of EE Design,YAQUB MAHNASHI,MW,0930-1045,59-1010,Closed,Open
EE  311-04,LEC,21564,Fundamentals of EE Design,ALI AL-BELADI,MW,1100-1215,59-2015,Open,Closed
EE  311-05,LEC,21565,Fundamentals of EE Design,MAAN KOUSA,MW,1100-1215,59-1013,Closed,Open
EE  311-06,LEC,21566,Fundamentals of EE Design,MAAD AL-OWAIFEER,UT,1200-1315,59-2015,Closed,Open
EE  311-08,LEC,23185,Fundamentals of EE Design,MAAN KOUSA,MW,1230-1345,59-1017,Closed,Open
EE  311-09,LEC,24420,Fundamentals of EE Design,FERAS AL DIRINI,MW,0930-1045,59-2015,Open,Closed
EE  311-10,LEC,24421,Fundamentals of EE Design,FERAS AL DIRINI,MW,1230-1345,59-1015,Open,Closed
EE  312-01,LEC,24442,Electrical Systems & Lighting,KIM DAEUNG,MW,0930-1045,19-413,Open,Closed
EE  312-01,LEC,24442,Electrical Systems & Lighting,DJAMEL OUIS,MW,0930-1045,19-413,Open,Closed
EE  312-51,LAB,24443,Electrical Systems & Lighting,KIM DAEUNG,T,1400-1640,19-120,Open,Closed
EE  315-01,LEC,20442,Probabilistic Methods in Electrical Engineering,ALI NASIR,UTR,0800-0850,59-2003,Closed,Closed
EE  315-02,LEC,20440,Probabilistic Methods in Electrical Engineering,S. AL-AHMADI,UTR,0900-0950,59-1011,Open,Closed
